id,imdb_id,name_eng,rating,rating_date,release_year,link
460,,Mission: Impossible II,4,2022-04-04,2000,https://www.kinopoisk.ru/film/3447/
461,,Les parfums,5,2022-04-10,2019,https://www.kinopoisk.ru/film/1347630/
462,,Infinite,5,2022-04-10,2021,https://www.kinopoisk.ru/film/1238476/
463,,Fantastic Beasts: The Secrets of Dumbledore,6,2022-04-16,2022,https://www.kinopoisk.ru/film/843772/
464,,Compartment Number 6,10,2022-04-24,2021,https://www.kinopoisk.ru/film/1346514/
465,,Tenet,10,2022-04-24,2020,https://www.kinopoisk.ru/film/1236063/
466,,Stop-Zemlia,9,2022-04-24,2021,https://www.kinopoisk.ru/film/4381953/
467,,Tytöt tytöt tytöt,9,2022-04-24,2022,https://www.kinopoisk.ru/film/4775434/
468,,Convenience store,8,2022-04-24,2022,https://www.kinopoisk.ru/film/1311130/
469,,The Outfit,6,2022-04-24,2021,https://www.kinopoisk.ru/film/4396717/
470,,Scheme,7,2022-04-24,2021,https://www.kinopoisk.ru/film/4858914/
471,,Guo chun tian,7,2022-04-24,2018,https://www.kinopoisk.ru/film/1182370/
472,,Doctor Strange in the Multiverse of Madness,8,2022-05-05,2022,https://www.kinopoisk.ru/film/1219909/
473,,The Fate of the Furious,6,2022-05-10,2017,https://www.kinopoisk.ru/film/894027/
474,,The Dressmaker,4,2022-05-16,2015,https://www.kinopoisk.ru/film/762750/
475,,Thor: Ragnarok,6,2022-05-16,2017,https://www.kinopoisk.ru/film/822709/
476,,Top Gun: Maverick,8,2022-06-01,2022,https://www.kinopoisk.ru/film/572032/
477,,Turning Red,7,2022-06-05,2022,https://www.kinopoisk.ru/film/1238292/
478,,Mission: Impossible - Ghost Protocol,6,2022-06-06,2011,https://www.kinopoisk.ru/film/472362/
479,,Knight and Day,8,2022-06-23,2010,https://www.kinopoisk.ru/film/455188/
480,,Spiderhead,5,2022-07-10,2022,https://www.kinopoisk.ru/film/1450799/
481,,Pleasure,6,2022-07-14,2021,https://www.kinopoisk.ru/film/1163904/
